Model: variousDropout_0.1_0.1_0.1_3VGG     accuracy 76.290
Model: variousDropout_0.1_0.1_0.2_3VGG     accuracy 77.880
Model: variousDropout_0.1_0.1_0.3_3VGG     accuracy 79.850
Model: variousDropout_0.1_0.1_0.4_3VGG     accuracy 80.190
Model: variousDropout_0.1_0.2_0.1_3VGG     accuracy 77.960
Model: variousDropout_0.1_0.2_0.2_3VGG     accuracy 80.790
Model: variousDropout_0.1_0.2_0.3_3VGG     accuracy 80.390
Model: variousDropout_0.1_0.2_0.4_3VGG     accuracy 79.740
Model: variousDropout_0.1_0.3_0.1_3VGG     accuracy 78.200
Model: variousDropout_0.1_0.3_0.2_3VGG     accuracy 80.180
Model: variousDropout_0.1_0.3_0.3_3VGG     accuracy 80.070
Model: variousDropout_0.1_0.3_0.4_3VGG     accuracy 81.120
Model: variousDropout_0.1_0.4_0.1_3VGG     accuracy 79.280
Model: variousDropout_0.1_0.4_0.2_3VGG     accuracy 80.650
Model: variousDropout_0.1_0.4_0.3_3VGG     accuracy 78.870
Model: variousDropout_0.1_0.4_0.4_3VGG     accuracy 80.220
Model: variousDropout_0.2_0.1_0.1_3VGG     accuracy 78.140
Model: variousDropout_0.2_0.1_0.2_3VGG     accuracy 77.940
Model: variousDropout_0.2_0.1_0.3_3VGG     accuracy 78.800
Model: variousDropout_0.2_0.1_0.4_3VGG     accuracy 77.990
Model: variousDropout_0.2_0.2_0.1_3VGG     accuracy 79.820
Model: variousDropout_0.2_0.2_0.2_3VGG     accuracy 76.030
Model: variousDropout_0.2_0.2_0.3_3VGG     accuracy 79.250
Model: variousDropout_0.2_0.2_0.4_3VGG     accuracy 80.040
Model: variousDropout_0.2_0.3_0.1_3VGG     accuracy 77.740
Model: variousDropout_0.2_0.3_0.2_3VGG     accuracy 79.330
